epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,264.927,2.46029,4.41267,2.13017,0.00169,0.18343,0.00285,0.00112,2.51809,3.92332,2.13026,0.00142734,0.00047578,0.00142734,0.00047578,0.00142734,0.00047578,0.00142734,0.00047578
2,494.215,2.3493,4.04058,1.93421,0.04764,0.02845,0.01552,0.00628,2.47188,3.67012,1.99702,0.00279978,0.000933262,0.00279978,0.000933262,0.00279978,0.000933262,0.00279978,0.000933262
3,709.019,2.30356,3.78802,1.85871,0.40101,0.0342,0.02432,0.0104,2.45884,3.56527,2.00259,0.00411564,0.00137188,0.00411564,0.00137188,0.00411564,0.00137188,0.00411564,0.00137188
4,916.962,2.29772,3.64893,1.8326,0.4007,0.04978,0.026,0.00934,2.50841,3.40489,2.00869,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,1117.08,2.25201,3.50545,1.81714,0.42631,0.06069,0.03107,0.00964,2.49544,3.33905,2.02023,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,1317.24,2.22495,3.39326,1.7961,0.0783,0.06315,0.04067,0.0135,2.46639,3.23648,1.95515,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,1521.83,2.20904,3.2864,1.76491,0.10983,0.09079,0.04438,0.01849,2.46659,3.27118,1.93644,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,1727.55,2.18099,3.19354,1.73802,0.13478,0.0875,0.04544,0.01584,2.51162,3.23814,1.99325,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,1932.22,2.1636,3.11046,1.7315,0.1364,0.11242,0.0567,0.02113,2.48284,3.1957,1.972,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,2136.84,2.12401,3.04457,1.69832,0.18074,0.08398,0.05651,0.01831,2.52443,3.22513,1.96932,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,2340.51,2.10205,2.95307,1.67977,0.14734,0.13945,0.04881,0.01682,2.51672,3.22176,2.02864,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,2541.56,2.08787,2.90625,1.66891,0.15001,0.12746,0.06543,0.02106,2.52247,3.21399,1.98491,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,2742.26,2.06103,2.82747,1.64529,0.1221,0.09659,0.05977,0.02308,2.54283,3.20473,2.00697,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,2948.89,2.05429,2.77852,1.64107,0.12631,0.1048,0.05371,0.01878,2.50964,3.2293,1.95939,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,3152.13,2.02668,2.7169,1.61874,0.15084,0.1096,0.05297,0.01962,2.52448,3.21057,1.96292,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,3355.63,2.0053,2.6486,1.59117,0.14763,0.11319,0.06389,0.02157,2.5566,3.25413,2.00973,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,3561.88,1.99051,2.60606,1.58434,0.1139,0.11168,0.04693,0.01838,2.51426,3.24448,1.98638,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,3765.55,1.97605,2.55837,1.57352,0.14782,0.11288,0.06725,0.02663,2.54384,3.25207,2.01497,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,3968.59,1.95834,2.51066,1.56074,0.20895,0.07356,0.0681,0.02395,2.5373,3.26363,1.9981,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,4175.14,1.93829,2.45069,1.54021,0.12538,0.12133,0.05481,0.02025,2.55036,3.2994,1.98876,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,4380.6,1.92576,2.40199,1.52991,0.14305,0.0954,0.05212,0.01777,2.5519,3.23729,1.995,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,4581.98,1.90154,2.35352,1.50888,0.15047,0.10944,0.07377,0.02576,2.56194,3.2972,1.98979,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,4788.89,1.88241,2.31957,1.50767,0.15491,0.11471,0.0575,0.02046,2.60252,3.3074,2.03068,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,4994.14,1.8741,2.28754,1.49762,0.153,0.11451,0.06449,0.02392,2.57334,3.28816,2.00616,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,5199.29,1.85857,2.2261,1.48509,0.14941,0.1012,0.05431,0.0191,2.61013,3.34105,2.04395,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,5404.54,1.85156,2.19295,1.47218,0.21958,0.0877,0.06187,0.02143,2.58411,3.3431,2.02058,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,5602.76,1.84346,2.15602,1.46351,0.17689,0.10575,0.06129,0.02056,2.591,3.30134,2.02096,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,5799.77,1.81443,2.12325,1.45297,0.22411,0.08915,0.06606,0.0221,2.58368,3.30868,2.00814,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,5997.89,1.80372,2.09997,1.43636,0.16292,0.11843,0.0727,0.02312,2.60524,3.29636,2.01012,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,6196.09,1.79384,2.06177,1.43483,0.15496,0.13036,0.06964,0.02415,2.59961,3.34131,2.02479,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,6394.84,1.7741,2.02427,1.42292,0.16547,0.11975,0.06419,0.02238,2.60645,3.33869,2.02602,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,6592.21,1.77112,2.01939,1.41722,0.12906,0.11672,0.06119,0.02123,2.62164,3.34503,2.01596,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,6789.22,1.75502,1.96361,1.40028,0.14423,0.13484,0.05948,0.0214,2.64446,3.40287,2.07478,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,6987.6,1.75053,1.95013,1.40293,0.16294,0.11906,0.0756,0.02606,2.62489,3.33115,2.04802,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,7189.46,1.72357,1.91332,1.38862,0.14976,0.10335,0.06173,0.0217,2.63393,3.41347,2.0723,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,7395.19,1.71788,1.8994,1.3826,0.16396,0.11624,0.06886,0.02212,2.62508,3.39454,2.03774,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,7595.02,1.71069,1.87538,1.37668,0.15969,0.10776,0.06899,0.0213,2.64207,3.41621,2.05398,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,7794.74,1.69499,1.84855,1.36582,0.14323,0.11231,0.06669,0.02385,2.64935,3.41279,2.0506,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,7993.84,1.68195,1.84007,1.3645,0.14531,0.09612,0.06149,0.02191,2.68594,3.4428,2.10222,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,8193.13,1.68627,1.82101,1.35784,0.19355,0.10625,0.07153,0.02298,2.65536,3.38873,2.0681,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,8379.76,1.66313,1.75909,1.37316,0.1351,0.13319,0.06976,0.02371,2.66312,3.39051,2.05934,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,8567.14,1.61844,1.66536,1.34456,0.16419,0.11899,0.06876,0.02421,2.69039,3.38779,2.05993,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,8753.44,1.604,1.62622,1.33708,0.19569,0.11395,0.07387,0.027,2.68461,3.3952,2.05228,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,8938.52,1.58802,1.60572,1.32637,0.17966,0.11603,0.07884,0.02915,2.69433,3.41771,2.06323,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,9116.67,1.56912,1.57384,1.31514,0.17551,0.13118,0.07864,0.02667,2.70251,3.43081,2.08049,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,9294.97,1.56104,1.56069,1.31417,0.18375,0.12001,0.07533,0.0257,2.70966,3.43524,2.07165,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,9473.54,1.54445,1.53082,1.30447,0.22858,0.10983,0.07705,0.02579,2.69005,3.45038,2.06709,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,9651.34,1.53087,1.51562,1.29373,0.23745,0.11698,0.07896,0.02671,2.68649,3.44651,2.0661,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,9830.14,1.5257,1.51026,1.28993,0.23283,0.10941,0.07733,0.02601,2.69886,3.45111,2.0759,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,10008.4,1.53185,1.49866,1.29259,0.25855,0.10871,0.07685,0.02628,2.6925,3.4468,2.06915,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
