epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,67.3941,1.64229,3.86914,1.80368,0.00314,0.57198,0.03143,0.01127,1.68129,3.6791,2.11486,0.00124053,0.00041351,0.00124053,0.00041351,0.00124053,0.00041351,0.00124053,0.00041351
2,124.455,1.49428,3.67541,1.68185,0.6153,0.08523,0.08335,0.0318,1.63222,3.37318,2.00425,0.00244122,0.000813739,0.00244122,0.000813739,0.00244122,0.000813739,0.00244122,0.000813739
3,180.026,1.5143,3.30842,1.65384,0.46252,0.25618,0.19583,0.09189,1.64875,3.05144,1.96979,0.00359241,0.00119747,0.00359241,0.00119747,0.00359241,0.00119747,0.00359241,0.00119747
4,235.38,1.50408,3.0225,1.6408,0.41302,0.30556,0.28207,0.13977,1.63257,2.79447,1.95549,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
5,290.507,1.49144,2.7996,1.62527,0.45085,0.37814,0.36595,0.18893,1.59074,2.56747,1.88004,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,345.626,1.44078,2.6439,1.58304,0.44918,0.38251,0.3647,0.19861,1.54943,2.42039,1.84822,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,400.91,1.43638,2.52318,1.56343,0.50505,0.40077,0.4013,0.21845,1.58136,2.43995,1.87655,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,456.571,1.41737,2.45794,1.53333,0.549,0.41417,0.42166,0.23095,1.52208,2.32505,1.83798,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,511.715,1.38317,2.35282,1.52021,0.55818,0.46065,0.45368,0.25434,1.52258,2.18565,1.84175,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,567.646,1.36525,2.28482,1.4992,0.5357,0.44231,0.46203,0.25485,1.55072,2.18082,1.81279,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,623.997,1.3633,2.2303,1.49017,0.66463,0.48989,0.5358,0.30865,1.44805,1.98413,1.73626,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,680.161,1.32593,2.16745,1.47273,0.63289,0.47695,0.52413,0.30679,1.44346,2.02212,1.74028,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,735.726,1.32527,2.12815,1.46901,0.6272,0.52255,0.54048,0.32388,1.43853,1.90963,1.74948,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,792.071,1.29641,2.04008,1.44602,0.67225,0.52299,0.5698,0.35153,1.3755,1.8179,1.6769,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,849.255,1.25816,1.97455,1.41451,0.63908,0.54403,0.57291,0.35123,1.37505,1.77566,1.6716,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
