epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.71683,1.49209,3.54737,1.76708,0.00488,0.49107,0.07127,0.02394,1.81708,3.4944,2.1472,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,7.43606,1.64864,3.65791,1.8517,0.00543,0.52232,0.08923,0.0278,1.78022,3.51107,2.14655,0.000629611,0.00020987,0.000629611,0.00020987,0.000629611,0.00020987,0.000629611,0.00020987
3,10.5212,1.58967,3.68829,1.86862,0.0056,0.52679,0.09724,0.03226,1.85108,3.50937,2.16894,0.000950869,0.000316956,0.000950869,0.000316956,0.000950869,0.000316956,0.000950869,0.000316956
4,12.5636,1.53137,3.5952,1.80439,0.00509,0.49107,0.11346,0.03454,1.84392,3.48814,2.16242,0.00126377,0.000421258,0.00126377,0.000421258,0.00126377,0.000421258,0.00126377,0.000421258
5,14.5132,1.49188,3.59002,1.7753,0.00549,0.43304,0.08259,0.03202,1.79583,3.48456,2.13778,0.00156832,0.000522775,0.00156832,0.000522775,0.00156832,0.000522775,0.00156832,0.000522775
6,16.55,1.42169,3.62101,1.72132,0.00598,0.59375,0.07754,0.02477,1.75381,3.51476,2.09567,0.00186452,0.000621508,0.00186452,0.000621508,0.00186452,0.000621508,0.00186452,0.000621508
7,18.3489,1.38796,3.58439,1.66438,0.00601,0.59375,0.0621,0.0234,1.6644,3.5005,2.08786,0.00215237,0.000717456,0.00215237,0.000717456,0.00215237,0.000717456,0.00215237,0.000717456
8,20.2073,1.39617,3.56233,1.74155,0.00514,0.52679,0.05535,0.02617,1.68989,3.44896,2.06185,0.00243186,0.00081062,0.00243186,0.00081062,0.00243186,0.00081062,0.00243186,0.00081062
9,23.0576,1.2723,3.52441,1.5917,0.00555,0.5625,0.06605,0.0339,1.55172,3.431,1.97196,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
10,25.4727,1.21887,3.51697,1.595,0.00544,0.5625,0.08935,0.04919,1.57304,3.38854,1.95693,0.00296579,0.000988595,0.00296579,0.000988595,0.00296579,0.000988595,0.00296579,0.000988595
